x,y
0,36.5097351
10000,40.5594406
20000,41.4047966
30000,41.6932335
40000,41.7796593
50000,41.0847435
60000,40.8933029
70000,38.2400246
80000,38.374752
90000,37.6068115
100000,38.5927467
110000,36.6281891
120000,35.4796486
130000,34.3456955
140000,32.6648331
150000,31.4723434
160000,30.9341011
170000,29.4856033
180000,28.7677879
188000,26.7310467
190000,27.9962559
200000,27.4501324
210000,26.8407841
220000,26.4066505
230000,25.6880112
240000,25.1985188
250000,24.3334885
260000,24.4890594
270000,24.1004181
280000,24.0443745
290000,23.8027096
300000,23.2628307
310000,23.0623512
320000,22.5288429
330000,22.3636265
340000,21.727129
350000,21.6554489
360000,21.448452
370000,21.0995102
380000,21.1261826
390000,20.7681999
400000,20.9623852
410000,20.4663181
420000,20.3308239
430000,20.636076
440000,20.5109272
450000,20.138031
460000,20.222702
470000,20.422678
480000,20.4433956
490000,20.5523148
500000,20.69631
510000,20.3227119
520000,20.6826
530000,20.7111912
540000,20.4708729
550000,20.7535667
560000,20.8522224
570000,20.8503113
580000,21.210928
590000,21.2862854
600000,20.8958359
610000,21.6012764
620000,21.7098732
630000,21.4613934
640000,21.9848995
650000,22.1577778
660000,22.4523525
670000,22.4594002
680000,22.5474281
690000,23.2621613
700000,23.1835651
750000,33.4968109
800000,33.3157005
900000,34.8809357
1000000,36.4727478
1120000,51.1731606
1310000,59.1053696
1500000,60.7151871
